,ID,Фамилия,Имя,Отчество,Организация,Аффилиации,Город
8576,34906,Аравин,Владислав,Владимирович,ФГКУ &quot;Войсковая часть 35533&quot;,,
8577,34880,Постнов,Сергей,Сергеевич,Орион,,Москва
8580,34866,Кузнецова,Тамара,Игнатьевна,Московский государственный машиностроительный университет (МАМИ),,Москва
8581,34865,Пахомова,Екатерина,Эдуардовна,Московский государственный машиностроительный университет (МАМИ),,
8582,34859,Топчаев,Владимир,Петрович,ОАО «СОЮЗЦВЕТМЕТАВТОМАТИКА»,,Москва
8583,34850,Черемухин,Василий,Ефимович,Московский институт энергобезопасности и энергосбережения,,
8584,34846,Белов,Николай,Витальевич,Московский государственный машиностроительный университет (МАМИ),,
8585,34842,Миронкина,Юлия ,Николаевна,НИУ ВШЭ,,Москва
8586,34840,Горкин,Валерий,Павлович,Московский государственный машиностроительный университет (МАМИ),,Москва
8587,34837,Сидорова ,Д.,А.,НИУ ВШЭ,,Москва
8588,34800,Козачек,Анастасия ,Андреевна,ФГБОУ ВО РЭУ им. Г.В. Плеханова,,
8590,34797,Похвощев,Владимир ,Александрович ,Московская международная высшая школа бизнеса &quot;Мирбис&quot; (Институт),,Москва
8591,34794,Назарова,Лилия,Евгеньевна,Кубанский государственный университет,,Краснодар
8593,34773,Liu,Liguang,-,"Department of Mathematics, School of Information, Renmin University of China",,Пекин
8594,34768,Samorodnitsky,Gennady,-,School of Operations Research and Information Engineering Cornell University,,Ithaca
8595,34767,Molchanov,Stanislaw,-,University of North Carolina,,Charlotte
8596,34720,Князева,Валентина,Валентиновна,Московский авиационный институт,,Москва
8597,34719,Волокитин,Денис,Александрович,Московский авиационный институт,,Москва
8598,34701,Кришнамурти,Ачьюта,.,Cochin University of Science and Technology,,Cochin
8599,34697,Гуляев,Валерий,Генрихович,НАСУ,,Нижний Новгород
8601,34691,Козлов,А.,В.,МГУ им. Ломоносова,,Москва
8602,34687,Пименова,О,Н,СГТУ,,Саратов
8603,34676,Выборнов,Александр,Николаевич,Московский государственный университет приборостроения и информатики,,Москва
8605,34646,Ткачев,Сергей ,Борисович,МВТУ им. Баумана,,Москва
8606,34630,Карпов,В,В,РосНОУ,,Москва
8607,34628,Васильев,Е,Г,МАИ,,Москва
8608,34627,Скорик,Николай,Андреевич,МАИ,,Москва
8609,34624,Чернявский,Денис,Васильевич,ОАО &quot;Спутниковая система &quot;Гонец&quot;&quot;,,Москва
8610,34621,Цыпелев,В,В,МАИ,,
8611,34619,Гойденко,В,К,-,,
8612,34617,Шовкалюк,А,П,МАИ,,Москва
8613,34611,Шкляев,Андрей,Евгеньевич,РГЭУ им. Г.В. Плеханова,,Москва
8614,34594,Ле Ван,Дин,-,МЭИ,,Москва
8615,34592,Дмитриевский,Анатолий,Николаевич,ИПНГ РАН,,Москва
8616,34591,Агеев,Петр,Георгиевич,Группа компаний &quot;Новас&quot;,,Москва
8617,34578,Бобкин,Данила,Викторович,Московский Технологический Институт,,Москва
8618,34575,Мельников,Г.,Н.,?,,
8619,34573,Огородний,Александр,Валентинович,Московский Технологический Институт,,Москва
8620,34571,Карпунин,А.,А.,?,,
8621,34570,Иванов,Вячеслав,Юрьевич,Московский Университет МВД России им. В.Я. Кикотя,,Москва
8622,34568,Пустогаров,Александр,Александрович,Московский Технологический Институт,,Москва
8624,34552,Мальцева,Анна,Всеволодовна,МГУ имени М.В.Ломоносова,,Москва
8625,34546,Смирнова,Г.,С.,Казанский авиационный институт (КАИ),,Казань
8626,34545,Сабитов,Рустем,Адиевич,Казанский авиационный институт (КАИ),,Казань
8627,34530,Чеканов,Владимир,Александрович, ОАО «Металлургический завод «Электросталь» ,,Электросталь
8629,34514,Кащеев,В.,В.,МРНЦ им. А.Ф. Цыба – филиал ФГБУ «НМИРЦ»  Минздрава России,,Обнинск
8630,34513,Максютов,М.,А.,МРНЦ им. А.Ф. Цыба – филиал ФГБУ «НМИРЦ»  Минздрава России,,Обнинск
8631,34512,Чекин,С.,Ю.,МРНЦ им. А.Ф. Цыба – филиал ФГБУ «НМИРЦ»  Минздрава России,,Обнинск
8632,34511,Иванов,В.,К.,МРНЦ им. А.Ф. Цыба – филиал ФГБУ «НМИРЦ»  Минздрава России,,Обнинск
8633,34496,Горбунов,Владимир,Григорьевич,ЭЗАН,,Черноголовка
8634,34491,Лемешкова,Алеся,Валерьевна,ИПТ РАН,,Москва
8635,34477,Лемтюгова,Екатерина ,Вячеславовна,Юридическая организация,,Владивосток
8636,34466,Заикин,Олег,Александрович,Warsaw School of Computer Science,,
8637,34457,Минакир,Павел,Александрович,Институт экономических исследований ДВО РАН,,Хабаровск
8638,34454,Жук,Надежда,Петровна,Институт проблем региональной экономики РАН,,Санкт-Петербург
8640,34437,Сапожников,А.,Мю,Институт биоорганической химии РАН,,Москва
8641,34417,Воронцов,Ю,А,МТУСИ,,Москва
8642,34412,Сорвиров,Борис,Владимирович,ГГУ им. Ф. Скорины,,
8643,34411,Баранов,Александр,Михайлович,ГГУ им. Ф. Скорины,,
8644,34401,Саитова,Гузель,Асхатовна,УГАТУ,,Уфа
8645,34400,Петунин,Валерий,Иванович,УГАТУ,,Уфа
8646,34399,Мунасыпов,Рустем,Анварович,УГАТУ,,Уфа
8647,34398,Красильщиков,Михаил,Наумович,УГАТУ,,Уфа
8648,34397,Жернаков,Сергей,Владимирович,УГАТУ,,Уфа
8649,34396,Евдокименков,Вениамин,Николаевич,УГАТУ,,Уфа
8650,34395,Данилин,Олег,Евгеньевич,УГАТУ,,Уфа
8652,34389,Васильев ,В.,И.,УГАТУ,,Уфа
8653,34363,Межевич,Николай,Маратович,Институт проблем региональной экономики РАН,,Санкт-Петербург
8654,34354,Викторова,Елизавета,Романовна,НИУ ВШЭ,,Москва
8655,34350,Борискова,Анна ,Максимовна,НИУ ВШЭ,,Москва
8656,34346,Керцман,В.,М.,МГУ им. Ломоносова,,Москва
8657,34345,Подмогов,Юрий,Г.,ЗАО &quot;Геотехнологии&quot;,,Москва
8658,34342,Petukhova,Nina,Vasilevna,ИПУ РАН,,Москва
8660,34340,Zhozhikashvili,Vladimir,Aleksandrovich,ИПУ РАН,,
8661,34339,Bilik,Radyi,Vasilevich,ИПУ РАН,,
8665,34327,Ломнев,Владимир,Станиславович,Компания &quot;Осткард&quot;,,Москва
8666,34321,Евдокимова,Юлия,Викторовна,ИТИГ,,Москва
8667,34318,Розанова,Татьяна,Павловна,Финансовый университет при правительстве РФ,,Москва
8668,34310,Абанин,П,Е,НПК ТЦ,,Зеленоград
8669,34308,Заложнев,Дмитрий,Алексеевич,ENERGAS,,Москва
8670,34306,Тахов,Владимир,Станиславович,НПК &quot;Технологический центр&quot;,,Зеленоград
8677,34272,Кирьянова,Н.,Г.,Новосибирский государственный технический университет,,Новосибирск
8678,34271,Пранкевич,Г.,А.,Новосибирский государственный технический университет,,Новосибирск
8679,34266,Лепе,Н.,Л.,ИЭУП РГГУ,,Москва
8680,34252,Хохлов ,Александр,Сергеевич,РГУ нефти и газа им. И.М.Губкина,,Москва
8681,34243,Колпакова,Галина,Михайловна,МГИУ,,
8682,34242,Евдокимова,Юлия,Викторовна,РГУТиС,,
8683,34236,Кравец,А.,Г.,ВолгГТУ,,Волгоград
8684,34231,Шестаков,Максим,Витальевич,Финансовый университет,,
8685,34211,Чиж-Гвязда,Эва,Радиловна,Экономический университет в Катовицах,,
8686,34192,Виха,Галина,Васильевна,Институт диагностики и профилактики социально-значимых заболеваний,,Москва
8687,34191,Кроль,Владимир,Михайлович,МИРЭА,,Москва
8689,34167,Сулакшин,С,С,?,,
8690,34166,Ерешко,Ф,И,ВЦ РАН,,
8691,34165,Бахтизин,А,Р,?,,
8692,34164,Махутов,Н,А,РАН,,
8693,34163,Макаров,В,Л,РАН,,
8694,34160,Ямпольский,Юрий,Павлович,ИНХС РАН,,
8695,34159,Рыжих,Виктория,Евгеньевна,ИНХС РАН,,
8696,34157,Варнавский,Александр,Николаевич,РРТУ,,Рязань
8697,34156,Перепечина,Ирина,Олеговна,МГУ,,
8698,34154, Nowbandegani ,Pouria ,Salehi,Shiraz University,,
8699,34153,Magnant,Colton,-,Georgia Southern University,,
8703,34140,Шалышкин,Михаил,Игоревич,РСК &quot;МИГ&quot;,,Москва
8706,34127,Фрумин,И,Д,НИУ ВШЭ,,
8707,34126,Серова,А,В,НИУ ВШЭ,,
8708,34125,Карданова,Е,Ю,НИУ ВШЭ,,
8709,34124,Иванова,А,Е,НИУ ВШЭ,,
8710,34123,Филатова,Л,М,НИУ ВШЭ,,
8711,34122,Сероштан,Э,С,НИУ ВШЭ,,
8712,34121,Николаенко,Е,А,НИУ ВШЭ,,
8713,34120,Деркачев,П,В,НИУ ВШЭ,,
8714,34119,Абанкина,Т,В,НИУ ВШЭ,,
8715,34115,Беленький,Александр,Соломонович,НИУ ВШЭ,,
8717,34096,Ядренцев ,Денис,Александрович,РКК &quot;Энергия&quot;,,Москва
8718,34095,Харламов,Максим,Михайлович,РКК &quot;Энергия&quot;,,Москва
8719,34094,Бронников ,С.,В.,РКК &quot;Энергия&quot;,,Москва
8720,34069,Lin,Y.,?,Renmin University of China,,Beijing
8721,34068,Muranov,Yu.,?,University of Warmia and Mazury,,Olsztyn
8724,34063,Nadirashvili,N.,?,Universite Aix-Marseille,,
8726,34031,Терешин,Виктор,Ильич,ООО &quot;Техносенсор&quot;,,Санкт-Петербург
8728,33993,Sztrik,Janos,S.,"Department of Informatics Systems and Networks, Debrecen University",,Debrecen
8729,33985,Шакуров,А.,Г., Центральный научно-исследовательский институт черной металлургии им. И.П. Бардина,,Москва
8730,33978,Кочегаров,И.,И.,?,,
8733,33973,Воронов,Е.,М.,?,,
8738,29365,Амеличкин,Алексей,Викторович,ИПУ РАН,,Москва
8739,33837,Шатилов,Сергей ,N,Huawei Technologies R&amp;D Centre,,Москва
8741,33835,Yi ,Youwen,N,Huawei Technologies Co. Ltd,,Beijing
8744,33832,Jianqiang,Shen,S,Huawei Technologies Co. Ltd,,Beijing
8745,33831,Yanxing,Zeng,Z,Huawei Technologies Co. Ltd,,Beijing
8746,33656,Песиков,Эдуард,Боррисович,Санкт-Петербургский гос. университет,,Санкт-Петербург
8752,33638,Закиров ,Эрнест,Сумбатович,ИПНГ РАН,,Москва
8754,33514,Чуричев,В.,В.,Вольное экономическое общество,,
8756,33493,Бимаков,Егор,Валерьевич,ИжГТУ имени М.Т. Калашникова,,Ижевск
8757,33471,Кузнецов,Максим,Сергеевич,ФГБОУ ВПО &quot;НИУ &quot;МЭИ&quot;,,
8758,33460,Ушаков,Андрей,Николаевич,Московский авиационный институт,,Москва
8759,33459,Резник,Юрий,Овшиевич,Московский авиационный институт,,Москва
8760,33458,Соловьев,Виктор,Николаевич,Научно-производственное объединение &quot;Техномаш&quot;,,Москва
8761,33457,Кологов,Андрей,Владимирович,Научно-производственное объединение &quot;Техномаш&quot;,,Москва
8762,33453,Семенихин,Сергей,Анатольевич,Научно-исследовательский институт прикладной механики и электродинамики (НИИ ПМЭ МАИ),,Москва
8763,33452,Дьяконов,Григорий,Александрович,Научно-исследовательский институт прикладной механики и электродинамики (НИИ ПМЭ МАИ),,Москва
8764,33444,Любинская,Наталия,Валентиновна,Научно-исследовательский институт прикладной механики и электродинамики (НИИ ПМЭ МАИ),,Москва
8765,33443,Антропов,Николай,Николаевич,Научно-исследовательский институт прикладной механики и электродинамики (НИИ ПМЭ МАИ),,Москва
8766,33441,Храбров,Виктор,Александрович,Научно?исследовательский институт прикладной механики и электродинамики (НИИ ПМЭ МАИ),,Москва
8767,33440,Попов,Гарри,Алексеевич,Научно-исследовательский институт прикладной механики и электродинамики (НИИ ПМЭ МАИ),,Москва
8768,33439,Мье,Т,Н,МГТУ им. Н.Э.Баумана,,Москва
8769,33438,Мьё ,Т,Н,МГТУ им. Н.Э. Баумана,,Москва
8770,33417,Орлов,Павел,Васильевич,МИЭМ,,Москва
8771,33414,Левашов,Александр,Витальевич,ФГБОУ ВПО &quot;НИУ &quot;МЭИ&quot;,,
8775,33409,Магу,Дарья,Владимировна,ЗАО &quot;Хоневелл&quot;,,Москва
8776,33407,Динь,Ле,Ван,ФГБОУ ВПО &quot;НИУ &quot;МЭИ&quot;,,
8777,33405,Ву,Нгок,Минь,ФГБОУ ВПО &quot;НИУ &quot;МЭИ&quot;,,
8778,33397,Матросова,Нина,Ивановна,ИМАШ РАН,,Москва
8784,33388,Кузнецов,Константин,Владимирович,ЗАО &quot;Хоневелл&quot;,,Москва
8785,33386,Агеев,В.,В.,ЦЭМИ ИФЗ РАН,,
8786,33384,Козак,С.,З.,ЗАО «ГИДЭК»,,
8787,33379,Мьо Тан Тун,Тун,Тун,МГТУ им. Баумана,,Москва
8788,33374,Увайсов ,Сайгид ,Увайсович,МИЭМ НИУ ВШЭ,,Москва
8789,33371,Силаев,В,М,МГТУ им. Н. Э. Баумана,,Москва
8790,33370,Демянков,А,А,ГНУ ВНИИГиМ Россельхозакадемии,,Москва
8791,33367,Павлова,Мария,Владимировна,МИЭМ,,
8793,33359,Холодилов,Дмитрий ,Сергеевич,ИПУ РАН,,Москва
8795,33351,Головинов,Е,Э,ГНУ ВНИИГиМ Россельхозакадемии,,Москва
8796,33349,Кудрявцев,Д,Ю,МИЭМ НИУ ВШЭ,,Москва
8797,33257,Фокин,А,Н, ЗАО «МНИТИ»,,
8798,33229,Ванюшин,Борис,Федорович,Институт физико-химической биологии им. А.Н. Белозерского МГУ им. М.В. Ломоносова ,,Москва
8811,32421,Чуричев,Владислав,Викторович,?,,
8814,32412,Марченко,Владимир,Константинович,?,,
8818,32379,Расулова,Саодат,Касымовна,КарГТУ,,Караганда
8819,32366,Положенцев,Кирилл,Анатольевич,ОАО &quot;Металлургический завод &quot;Электросталь&quot;,,Электросталь
8824,32262,Круть,Владимир,Викторович,ИЧП,,Москва
8825,32260,Пахомов,Сергей,Андреевич,Финансовый университет при Правительстве РФ,,Москва
8826,32257,Tatarnikov,Dmitry,-,Moscow Aviation Institute,,Moscow
8827,32255,Leick,Alfred,-,University of Maine,,Orono
8828,32247,Рябых,Николай,Георгиевич,МФТИ,,
8829,32243,Некрасова,Лариса,Петровна,НИИ ЭЧ и ГОС им. А. Н. Сысина,,Москва
8830,32242,Шаповалов,Дмитрий ,Святославович,ФГБУ “НИИ экологии человека и гигиены окружающей среды им. А. Н. Сысина” (НИИ ЭЧ и ГОС им. А.Н. Сысина),,Москва
8832,32160,Коленбет,Н.,С.,ВГТУ,,Воронеж
8833,32159,Заворыкин,А.,С.,ВГТУ,,Воронеж
8834,32158,Ермаков,С.,А.,ВГТУ,,Воронеж
8835,32156,Девяшин,А.,О.,ВГТУ,,Воронеж
8836,32154,Кургузкин,В.,А.,ВГТУ,,Воронеж
8837,32153,Бабаджанов,Р.,К.,ВГТУ,,Воронеж
8838,32151,Шевченко,И.,В.,ВГТУ,,Воронеж
8839,32148,Бутузов,В.,В.,ВГТУ,,Воронеж
8840,32147,Соколова,Е.,С.,ВГТУ,,Воронеж
8846,32112,Давидовский,Максим,Влавимирович,Запорожский национальный университет,,Запорожье
8847,32102,Андропов,Краснослав,Николаевич,Валком-ПМ,,Волгоград
8848,32100,Smith,Richard,S.,?,,
8852,32083,Хвастунов ,А.,А.,Воронежский государственный архитектурно-строительный университет,,
8853,32082,Санина,Н.,В.,Воронежский государственный архитектурно-строительный университет,,
8854,32081,Алферов,Д.,В.,Воронежский государственный архитектурно-строительный университет,,
8855,32078,Курочка,Н.,П.,ЦНИИ МО РФ,,
8856,32041,Дубовая,Татьяна,Клеониковна,ГБОУ ВПО РНИМУ им. Н.И. Пирогова ,,Москва
8857,32025,Ганзий,Дмитрий,Дмитриевич,&quot;НПЦ &quot;Вигстар&quot;,,Москва
8858,32024,Русаков,Павел,Валентинович,"Центр НИИРП, ОАО «Алмаз – Антей»",,Москва
8859,32021,Литвинов,Олег,Станиславович,Московский государственный технический университет им. Н.Э. Баумана,,Москва
8860,32003,Корнеев,Дмитрий,Геннадьевич,МЭСИ,,Москва
8861,32001,Пугачев,Андрей,Васильевич,МГТУ МИРЭА,,Москва
8862,31976,Перцев,В,В,Военный институт (военно-морской политехнический) ВУНЦ ВМФ «Военно-морская академия» ,,Санкт-Петербург
8863,31970,Подлевских,Александр,Павлович,Московский Мехнологический Институт,,Москва
8865,31956,Толбин,А.,Б., ВГАСУ ,,Воронеж
8866,31953,Моисеева,Юлия ,Владимировна,ЗАО  РМ Soft,,Москва
8867,31952,Зубарев,виктор,Владиславович,Государственная Дума РФ,,
8868,31943,Undisclosed,Co-,Author,Undisclosed Organization,,
8869,31908,Миришли,Денис,Фуадович,Университет Киото,,
8870,31905,Захарова,Елена,Николаевна,АдГУ,,
8871,31904,Панкратова,Наталья,Дмитриевна,НТУУ &quot;Киевский политехнический университет&quot;,,Киев
8872,31903,Горелова ,Галина,Викторовна,ЮФУ,,Таганрог
8873,31900,Таратухина,Юлия,Валерьевна,НИУ ВШЭ,,Москва
8882,31873,Турешбаев,Абдильда,Турешбаевич,Кызылординский государственный университет им. Коркыт Ата,,Кызылорда
8883,31861,Трофимец,Валерий,Ярославович,Ярославскийй государственный университет им.П.Г.Демидова,,
8884,31860,Тельнов,Юрий,Филиппович,"Московский государственный университет экономики, статистики и информатики",,
8885,31859,Стяжкин,Александр,Николаевич,ОАО &quot;ЦНИИ &quot;Электроника&quot;,,
8886,31858,Лавринов,Геннадий,Алексеевич,46 ЦНИИ Министерства обороны РФ,,
8887,31857,Боков,Сергей,Иванович,ФГУП &quot;МНИИРИП&quot;,,
8888,31856,Батьковский,Михаил,Александрович,ФГУП &quot;МНИИРИП&quot;,,
8889,31855,Фомина,Алена,Владимировна,ОАО &quot;ЦНИИ &quot;Электроника&quot;,,
8890,31854,Батьковский,Александр,Михайлович,ОАО &quot;ЦНИИ &quot;Электроника&quot;,,
8891,31851,Фролов,И,Э,?,,
8892,31836,Гурьев ,Юрий,Владимирович, Военный институт (военно-морской политехнический) ВУНЦ ВМФ «Военно-морская академия»,,Санкт-Петербург
8893,31835,Меркулов,А.,А.,?,,
8894,31825,Багир-заде,Б,А,?,,
8895,31820,Сильвестров ,Сергей ,Николаевич ,Финансовый университет при Правительстве Российской Федерации,,
8897,31818,Московский ,Алексей ,Михайлович,Финансовый университет при Правительстве Российской Федерации,,
8898,31817,Бауэр,Владимир ,Петрович,Финансовый университет при Правительстве Российской Федерации,,
8899,31813,Ефремов,Дионисий ,Николаевич,Департамент государственной политики в сфере высшего образования Минобрнауки РФ,,
8900,31812,Логинов,Евгений,Леонидович,Институт экономических стратегий,,
8901,31808,Huang,X.-P,?,?,,
8902,31800,Канаева   ,Наталья,Александровна,ВГАСУ,,Воронеж
8903,31798,Зенищева,Галина,Васильевна,ВГАСУ,,Воронеж
8905,31796,Зенищева ,Галина,Васильевна,ВГАСУ,,Воронеж
8906,31790,Марин,Олег,Леонидович,ИПУ РАН,,Москва
8907,31778,Россихина  ,Лариса,Витальевна,ВГАСУ,,Воронеж
8908,31777,Пузырев  ,Сергей,Александрович,НИИ МВД,,Москва
8909,31775,Кондратьев   ,Виктор,Дмитриевич,МВД РФ,,Москва
8910,31771,Селезнев ,Алексей, Алексеевич,СибГИУ,,Новокузнецк
8911,31770,Зимин  ,Валерий,Викторович,СибГИУ,,Новокузнецк
8912,31762,  Дубовенко ,Светлана,В.,PMSoft,,Москва
8914,31755,Нехай,Руслан,Григорьевич,ВГАСУ ,,Воронеж
8915,31754,Волков,Анатолий,Александрович,ВГАСУ ,,Воронеж
8916,31753,Белкин,Андрей,Андреевич,ФГУП &quot;Государственный космический научно-производственный центр им. М.В. Хруничева&quot;,,
8917,31750,Селезнев  ,Александр,Алексеевич,СибГИУ,,Новокузнецк
8918,31749,Нгуен Хоан Тунг,Хуан,Тунг,ВГАСУ,,Воронеж
8919,31748,Нгуен,Хуан,Тунг,ВГАСУ,,Воронеж
8920,31744,Неизвестный ,Сергей ,Иванович,Сбербанк,,Москва
8921,31737,Вдовенков,Владимир,Анатольевич,МАИ,,
8922,31730,Рождественская,Софья,Михайловна,МФТИ,,
8923,31716,Шапкина,Евгения,Сергеевна,МГТУ им. Н.Э. Баумана,,Москва
8924,31715,Рожкова,Диана,Александровна,МГТУ им. Н.Э. Баумана,,Москва
8926,31713,Мозговая,Екатерина,Игоревна,МГТУ им. Н.Э. Баумана,,Москва
8927,31712,Демин,Никита,Александрович,МГТУ им. Н.Э. Баумана,,Москва
8930,31688,Нгуен,Тьи,Линь,ФГБОУ ВПО &quot;НИУ &quot;МЭИ&quot;,,Москва
8931,31687,Ле ,Ньят,Ань,ФГБОУ ВПО &quot;НИУ &quot;МЭИ&quot;,,Москва
8932,31678,Грибко,В.,В.,ПМСОФТ,,Москва
8933,31667,Spannring,Christopher,.,Johannes Kepler University,,Linz
8934,31661,Киреева,Екатерина,Александровна,Воронежский государственный архитектурно-строительный университет,,Воронеж
8935,31653,Ду,Цзяньмин,Без отчества,МГТУ им. Н.Э. Баумана,,Москва
8936,31651,Круппа,Захар,Петрвоич,МГТУ им. Н.Э. Баумана,,Москва
8937,31649,Лю,Вэнькуй,Без отчества,МГТУ им. Н.Э. Баумана,,Москва
8939,31639,Ермагамбетова,Гульмира,Нурлановна,КГУ им. Байтурсынова,,Костанай
8940,31633,Будко,Павел,Александрович,ОАО &quot;Интелтех&quot;,,Санкт-Петербург
8941,31632,Мирошников,Валентин,Иванович,ОАО &quot;Интелтех&quot;,,Санкт-Петербург
8942,31631,Николашин,Юрий,Львович,ОАО &quot;Интелтех&quot;,,Санкт-Петербург
8943,31624,Прохоров,Павел,Эдуардович,МЭСИ,,Москва
8944,31622,Власова,Валерия,Владимировна,НИУ ВШЭ,,Москва
8945,31620,Александрова,Елена,Андреевеа,Swiss Finance Institute SFI ,,Женева
8947,31607,Золотарев,Дмитрий ,Николаевич,ВГАСУ,,Воронеж
8949,31605,Золотарев,Дмитрий ,Николаевич,ВГАСУ,,Воронеж
8950,31596,Певцова,Лидия,Николаевна,ФПК МР РУДН,,Москва
8951,31595,Ходорович,Александр, Михайлович,ФПК МР РУДН,,Москва
8952,31594,Куликова,Наталья,Геннадиевна,ФПК МР РУДН,,Москва
8953,31536,Боровский,Н.,Ю.,?,,
8954,31535,Айсакова,Б.,Т.,??,,
8956,31510,Травин,С.,О.,ОАО ВНИИХТ,,Москва
8957,31509,Михеев,П.,И.,МГТУ им. Баумана,,Москва
8958,31508,Громов,О.,Б.,ОАО ВНИИХТ,,Москва
8959,31493,Титов,Алексей,Юрьевич,МФТИ,,Москва
8967,31461,Ермолова,Мария,Алексеевна,МГТУ им. Н.Э. Баумана,,Москва
8968,31444,WADEMCZUK,MAREK,.,Катовицкий экономический университет,,Катовицы
8969,31443,CZYŻ-GWIAZDA,Ewa,.,Катовицкий экономический университет,,Катовицы
8970,31441,Бражников,Сергей,Александрович,Московский государственный машиностроительный университет (МАМИ) ,,Москва
8971,31440,Верхов ,Евгений ,Юрьевич,Московский государственный машиностроительный университет (МАМИ) ,,Москва
8974,31413,Платонов,Сергей,Александрович,Военный институт инженерных войск,,Москва
8975,31412,Кутавин,Алексей,Николаевич,Военный институт инженерных войск,,Москва
8976,31411,Яким,Яков,Михайлович,Военный институт инженерных войск,,Москва
8978,31399,Герасименя,Валерий,Павлович,Военный институт инженерных войск,,Москва
8980,31387,Носова ,М.,В.,Финансовый университет при Правительстве РФ,,Москва
8982,31348,Жукова ,Галина ,Николаевна,Московский государственный университет печати имени Ивана Федорова,,Москва
8983,31343,Сметанин,Юрий,Геннадиевич,ВЦ РАН им А.А. Дородницына,,Москва
8984,31338,Никульчев,Евгений ,Витальевич,Всероссийская государственная налоговаяакадемия Минфина России.,,Москва
8985,31337,Чертихина ,Ирина ,Александровна,Московский государственный университет печати им. Ивана Федорова,,Москва
8986,31335,Кривенцов ,Александр ,Сергеевич,Московский государственный университет приборостроения и информатики,,Москва
8987,31332,Наумова,Ольга ,Анатольевна,ЗАО &quot;Алмаз-Антей&quot;,,Москва
8988,31329,Пономарёв  ,Антон,Васильевич,Московский государственный университет приборостроения и информатики,,Москва
8989,31324,Петрушин,Владимир,Николаевич,Финансовая академия при Правительстве РФ,,Москва
8990,31323,Головешкин,Василий,Адамович,Московский государственный университет приборостроения и информатики,,Москва
8997,31296,Вершинин,Юрий,Анатольевич,Университет Ковентри,,Ковентри
8998,31284,Васин,Дмитрий,Анатольевич,МГУ имени М.В.Ломоносова,,Москва
8999,31283,Роговский,Александр,Игоревич,МГУ имени М.В.Ломоносова,,Москва
9000,31282,Краев,Андрей,Владимирович,МГУ имени М.В.Ломоносова,,Москва
9001,31280,Атамась,Евгений,Иванович,МГУ имени М.В.Ломоносова,,Москва
9002,31278,Тарасов,Алексей,Сергеевич,ИППИ РАН,,Москва
9003,31277,Афанасьев,Александр,Петрович,ИППИ РАН,,Москва
9004,31268,Жуков,Андрей,Васильевич,ОАО &quot;СО-ЕЭС&quot;,,Москва
9007,31221,Апаршин,Аркадий,Анатольевич,ЭЗАН,,Черноголовка
9013,29884,Гуров,Сергей,Александрович,?,,Симферополь
9014,29883,Гурова,Вера,Александровна,?,,Симферополь
9015,29868,Коротков,Геннадий ,Викторович,ООО &quot;Ресурсинформ&quot;,,Москва
9016,29865,Потемпа,Томас,нет,Университет Вестфалия,,Вольстбург
9017,29860,Шкодина,Ирина,Витальевна,Харьковский институт банковского дела УБД НБУ,,Харьков
9018,29847,Сагадинова,Елизавета,Сергеевна,МГУ имени М.В.Ломоносова,,Москва
9019,29838,Хусаинов,Эльдар,Фаридович,МГТУ имени Н.Э.Баумана,,Москва
9021,29792,Кублик,Евгений,Ильич,Финансовый университет при Правительстве РФ,,Москва
9022,29791,Селиверстов,Дмитрий,Евгеньевич,-,,Москва
9023,29768,Lau,Ka-Sing,-,The Chinese University of Hong Kong,,
9024,29760,Торопыгина,Светлана,Аркадьевна,ИПМ РАН им. М. В. Келдыша,,Москва
9025,29759,Сорокин,Альберт,Петрович,ИПМ РАН им. М. В. Келдыша,,Москва
9026,29758,Зухба,Расим,Даурович,МФТИ,,Москва
9028,29745,Reti,Tamas,-,Obuda University,,Budapest
9029,29722,Радзиевская,Яна,Николаевна,?,,
9030,29715,Булгаков,В,В,ОАО Московский научно-производственный комплекс  «Авионика» им. О.В. Успенского,,Москва
9031,29714,Кулабухов ,В,С,ОАО Московский научно-производственный комплекс  «Авионика» им. О.В. Успенского,,Москва
9035,29687,Карпов,Евгений,Сергеевич,МЭСИ,,Москва
9036,29671,Калугина,Екатерина,Олеговна,ВШЭ,,
9037,29664,Зацепилова,Жанна,Валерьевна,Электростальский завод тяжелого машиностроения (ЭЗТМ),,Электросталь
9038,29647,Городецкая,Ольга,Юрьевна,Финансовый университет при Правительстве Рф,,Москва
9039,29639,Беляев,Александр,-,?,,
9043,29629,Дёшина,А.,Е.,ВГТУ,,Воронеж
9044,29600,Woess,W.,-,Institut f¨ur Mathematische Strukturtheorie,,Graz
9045,29599,Pittet,Ch.,-,"LATP, Universit´e d’Aix-Marseille",,Marseille
9046,29598,Bendikov,A.,-,Institute of Mathematics,,Wroclaw
9047,29597,Проскурников,Антон,Викторович,Санкт-Петербургский государственный университет,,Санкт-Петербург
9048,29595,Проскурников,Антон,Викторович,Санкт-Петербургский государственный университет,,Санкт-Петербург
9049,29584,Королев,В,С,ЦАГИ,,
9050,29582,Самосватов,Артем,Игоревич,Финансовый университет при Правительстве РФ,,Москва
9051,29572,Антиох,Григорий,Михайлович,-,,Москва
9052,29561,Бурса,М.,В.,ВГТУ,,Воронеж
9053,29558,Гусев,Д.,В.,?,,Воронеж
9055,29556,Радько,Н.,М. ,ОАО &quot;Концерн &quot;Созвездие&quot;,,Воронеж
9056,29554,Савенков,Г.,А.,ВГТУ,,Воронеж
